Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
AuroraGuard™,F0PET30GF,Polyethylene Terephthalate,PET,1.68,PET-GF30-FR,128.0,,10300.0,197.0,6.2,,
DSR,TL-103,Polyethylene Terephthalate,PET,,PET,,250.0,,,,,
DSR,TLE-102,Polyethylene Terephthalate,PET,,PET,,245.0,,,,,
Laser+®,(B90A),Polyethylene Terephthalate,PET,,PET,,241.0,,,,,
Laser+®,(B90B),Polyethylene Terephthalate,PET,,PET,,241.0,,,,,
Laser+®,C (C60A),Polyethylene Terephthalate,PET,,PET,,246.0,,,,,
Laser+®,C (C61A),Polyethylene Terephthalate,PET,,PET,,246.0,,,,,
Laser+®,C 4800 (B66A),Polyethylene Terephthalate,PET,,PET,,243.0,,,,,
Laser+®,C 61803 (E67A),Polyethylene Terephthalate,PET,,PET,,240.0,,,,,
Laser+®,HP806 (B93A),Polyethylene Terephthalate,PET,,PET,,240.0,,,,,
Laser+®,HS Ti818 (G51A),Polyethylene Terephthalate,PET,,PET,,240.0,,,,,
Laser+®,W (P45A),Polyethylene Terephthalate,PET,,PET,,,,,,,
LONGLITE® PET,9030-104,Polyethylene Terephthalate,PET,1.54,PET-GF30,,252.0,8000.0,190.0,10000.0,,28.0
LONGLITE® PET,9035-104,Polyethylene Terephthalate,PET,1.58,PET-GF35,,252.0,10500.0,210.0,10000.0,,18.0
Rynite®,408 NC010,Polyethylene Terephthalate,PET,1.49,PET-I-GF30,,250.0,8300.0,,9300.0,60.0,
Rynite®,830ER BK503,Polyethylene Terephthalate,PET,1.59,PET-I-GF30,,250.0,,,11000.0,,
Rynite®,935 NC010,Polyethylene Terephthalate,PET,1.58,PET-(GF+MD)35,,252.0,9100.0,,10000.0,,
Rynite®,940E BK505,Polyethylene Terephthalate,PET,1.64,PET-(GF+MD)40,,250.0,13000.0,,12000.0,,
Rynite®,FR515 BK507,Polyethylene Terephthalate,PET,1.55,PET-GF15-FR,,254.0,6000.0,160.0,6100.0,90.0,
Rynite®,FR533NH NC010,Polyethylene Terephthalate,PET,1.61,PET-GF35-FR,,249.0,13000.0,140.0,13000.0,90.0,
