Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
Sanren,N150 (On-spec.),"Polyethylene, Low Density",LDPE,PE-LD,12.5,,,,,,1.1
Sanren,Q200 (On-spec.),"Polyethylene, Low Density",LDPE,PE-LD,11.0,,,,,,1.6
Sanren,Q280 (On-spec.),"Polyethylene, Low Density",LDPE,PE-LD,11.0,,,,,,2.4
Sanren,Q400 (Premium-grade),"Polyethylene, Low Density",LDPE,PE-LD,9.0,,,,,,3.2
BRALEN®,FC 03-03,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.3
YUCLAIR™,FT710,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.5
YUCLAIR™,FT850,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,3.0
PRIMALENE,WPP502,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.33
PRIMALENE,WPP512D,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.0
PRIMALENE,WPP513DC,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.0
PRIMALENE,WPP523ED03,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.5
PRIMALENE,WPP551,"Polyethylene, Low Density",LDPE,PE-LD,8.96,,207.0,,,,16.0
PRIMALENE,WPP593D,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.8
PRIMALENE,WPP673G,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,15.4,,448.0,,,,52.0
PRIMALENE,WPP692D,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
PRIMALENE,WPP693QB,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.8
Prixene®,EL200I25,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,13.8,125.0,262.0,,,,20.0
