Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
ROPOTEN® T,FV-03-223,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.2
ROPOTEN® T,FV-20-205-1,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,1.8
ROPOTEN® T,FV-20-205-3,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,1.8
MTEGRITY™ LLDPE,LL106HH,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
MTEGRITY™ LLDPE,LL220AA,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.2
MTEGRITY™ LDPE,LD127AM,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.7
MARPOL®,LDC 710,"Polyethylene, Low Density",LDPE,PE-LD,,,,215.0,,,10.0
MARPOL®,LDC 712,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,12.0
MARPOL®,LDF 700,"Polyethylene, Low Density",LDPE,PE-LD,9.65,,,,,,0.25
MARPOL®,LDF 703-SB,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,3.2
MARPOL®,LDF 770-SB,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,7.0
MARPOL®,LDM 733,"Polyethylene, Low Density",LDPE,PE-LD,13.8,,248.0,,,,33.0
MARPOL®,LL4F 801,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
MARPOL®,LL4F 809-HSB,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.95
MARPOL®,LL4M 812,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,11.8,,293.0,,,,12.0
MARPOL®,LL4M 8130,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,16.5,,572.0,,,,130.0
MARPOL®,LL4M 820,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,11.0,,258.0,,,,20.0
