Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Tensile Strength at Yield,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
Polytron®,P20B01LE,"Polypropylene, Unspecified","PP, Unspecified",1.03,,5300.0,140.0,5700.0,,
Polytron®,P20B03LE,"Polypropylene, Unspecified","PP, Unspecified",1.03,,4700.0,120.0,5000.0,,
Polytron®,P20B07,"Polypropylene, Unspecified","PP, Unspecified",1.03,,5300.0,140.0,5700.0,,
Polytron®,P20B11,"Polypropylene, Unspecified","PP, Unspecified",1.03,,5300.0,140.0,5700.0,,
Polytron®,P30B037,"Polypropylene, Unspecified","PP, Unspecified",1.12,,6600.0,145.0,6600.0,,
Polytron®,P30B03CN,"Polypropylene, Unspecified","PP, Unspecified",1.12,,6600.0,145.0,6600.0,,
Polytron®,P30N01LE,"Polypropylene, Unspecified","PP, Unspecified",1.12,,6700.0,155.0,7000.0,,
Polytron®,P30N01M,"Polypropylene, Unspecified","PP, Unspecified",1.12,,6700.0,155.0,7000.0,,
Polytron®,P30N03,"Polypropylene, Unspecified","PP, Unspecified",1.12,,6600.0,145.0,6600.0,,
Polytron®,P30N037,"Polypropylene, Unspecified","PP, Unspecified",1.12,,6600.0,145.0,6600.0,,
Polytron®,P30N038,"Polypropylene, Unspecified","PP, Unspecified",1.12,,6600.0,145.0,6600.0,,
Polytron®,P40B01M,"Polypropylene, Unspecified","PP, Unspecified",1.22,,9000.0,190.0,10000.0,,
Polytron®,P40B036,"Polypropylene, Unspecified","PP, Unspecified",1.22,,9000.0,165.0,9000.0,,
Polytron®,P40N036,"Polypropylene, Unspecified","PP, Unspecified",1.22,,9000.0,165.0,9000.0,,
Polytron®,P50B01,"Polypropylene, Unspecified","PP, Unspecified",1.33,,12000.0,220.0,12500.0,,
Polytron®,P50B06,"Polypropylene, Unspecified","PP, Unspecified",1.33,,12000.0,220.0,12500.0,,
Polytron®,P50B07,"Polypropylene, Unspecified","PP, Unspecified",1.33,,12000.0,220.0,12500.0,,
Polytron®,P50B11,"Polypropylene, Unspecified","PP, Unspecified",1.33,,12000.0,220.0,12500.0,,
Polytron®,P50B11-S,"Polypropylene, Unspecified","PP, Unspecified",1.33,,12000.0,220.0,12500.0,,
Polytron®,P50N036,"Polypropylene, Unspecified","PP, Unspecified",1.33,,10500.0,185.0,11000.0,,
Polytron®,P60B08-S,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Prime Polypro™,E-100GV,Polypropylene Homopolymer,PP Homopolymer,,35.0,1800.0,49.0,1800.0,,0.5
Prime Polypro™,E701G,Polypropylene Copolymer,PP Copolymer,,29.0,1300.0,34.0,1250.0,,0.5
Prime Polypro™,E702MG,Polypropylene Copolymer,PP Copolymer,,29.0,1350.0,36.0,1400.0,,1.4
Prime Polypro™,F113G,Polypropylene Homopolymer,PP Homopolymer,,35.0,1550.0,44.0,1600.0,,3.0
Prime Polypro™,J-466HP,Polypropylene Copolymer,PP Copolymer,,22.0,,,950.0,,3.1
Propilven,F-403,Polypropylene Homopolymer,PP Homopolymer,,,1300.0,,,,3.0
Propilven,F-404,Polypropylene Homopolymer,PP Homopolymer,,,1300.0,,,,3.0
Propilven,F-502,Polypropylene Homopolymer,PP Homopolymer,,,1500.0,,,,3.8
Propilven,J-400,"Polypropylene, Unspecified","PP, Unspecified",,,1600.0,,,,3.0
Propilven,J-410,Polypropylene Impact Copolymer,PP Impact Copolymer,,,1000.0,,,,7.0
Propilven,J-440,Polypropylene Impact Copolymer,PP Impact Copolymer,,,900.0,,,,5.0
Propilven,J-643,Polypropylene Impact Copolymer,PP Impact Copolymer,,,900.0,,,,8.0
Propilven,J-705,Polypropylene Homopolymer,PP Homopolymer,,,1800.0,,,,15.0
Propilven,J-750,Polypropylene Random Copolymer,PP Random Copolymer,,,900.0,,,,11.0
Propilven,J-758,Polypropylene Random Copolymer,PP Random Copolymer,,,1000.0,,,,11.0
Propilven,J-844,Polypropylene Impact Copolymer,PP Impact Copolymer,,,900.0,,,,30.0
Propilven,S-701,Polypropylene Homopolymer,PP Homopolymer,,,1500.0,,,,12.0
Duron,PPS 20GF,Polyphenylene Sulfide,PPS,1.51,120.0,11400.0,170.0,,,
Qenos PP,PPK 1060,Polypropylene Homopolymer,PP Homopolymer,0.905,41.0,1600.0,,,,1.0
Qenos PP,PPK 2032,Polypropylene Copolymer,PP Copolymer,0.899,36.0,1400.0,,,,0.8
Qenos PP,PPN 2033,Polypropylene Copolymer,PP Copolymer,0.899,30.0,1200.0,,,,1.8
Qenos PP,PPV 1762,Polypropylene Copolymer,PP Copolymer,0.901,26.0,1400.0,,,,22.0
Qenos PP,PPV 1780,Polypropylene Homopolymer,PP Homopolymer,0.901,39.0,2100.0,,,,22.0
Qenos PP,PPV 2753,Polypropylene Copolymer,PP Copolymer,0.898,22.0,1200.0,,,,22.0
Analene®,Q-570,Polypropylene Random Copolymer,PP Random Copolymer,0.9,29.4,1180.0,,,,28.0
InStruc®,PD702 GF30,"Polypropylene, Unspecified","PP, Unspecified",1.13,,5520.0,124.0,,,
InStruc®,PPGB20,"Polypropylene, Unspecified","PP, Unspecified",1.11,,1860.0,,,,
InStruc®,PPTALC20,"Polypropylene, Unspecified","PP, Unspecified",1.04,,2380.0,27.0,,,10.0
Thermylene®,P6-15FG-1735,"Polypropylene, Unspecified","PP, Unspecified",1.01,,3050.0,76.0,,,7.5
Thermylene®,P6-20FG-2154,"Polypropylene, Unspecified","PP, Unspecified",1.04,,4380.0,97.0,,,16.0
Thermylene®,P7-45FG-0790,"Polypropylene, Unspecified","PP, Unspecified",1.3,,10300.0,169.0,,,2.0
AuroraGuard™,F010MF2002,"Polypropylene, Unspecified","PP, Unspecified",1.26,20.7,1720.0,,,,20.0
AuroraGuard™,F020MF1002,"Polypropylene, Unspecified","PP, Unspecified",1.3,20.7,2240.0,,,,10.0
AuroraGuard™,FFD0089,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
AuroraGuard™,GPP1005M-EX4,"Polypropylene, Unspecified","PP, Unspecified",0.91,22.8,1310.0,,,,13.0
AuroraTec™,15TF1502U,"Polypropylene, Unspecified","PP, Unspecified",1.01,18.6,1550.0,,,,15.0
AuroraTec™,2010U,"Polypropylene, Unspecified","PP, Unspecified",0.948,10.3,207.0,8.96,,,15.0
Maxxam™,C8 EP NATURAL X3 70,Polypropylene Copolymer,PP Copolymer,0.89,,,,280.0,,10.0
Maxxam™,P7MTF20H3 TEKNOPLEN HP MTF20 H3 NATURAL,Polypropylene Homopolymer,PP Homopolymer,1.05,,,,2600.0,,7.0
DotCore,PP H30 00 GF1,Polypropylene Homopolymer,PP Homopolymer,1.12,,6200.0,135.0,6700.0,,3.0
Xtended,PP C30 00 GF2,Polypropylene Copolymer,PP Copolymer,1.12,,5500.0,120.0,6000.0,,7.0
Xtended,PP H15 00 GF3,Polypropylene Homopolymer,PP Homopolymer,1.0,60.0,3600.0,93.0,3800.0,,12.0
Xtended,PP H20 92 TR3 V2,Polypropylene Homopolymer,PP Homopolymer,1.01,,2100.0,45.0,2200.0,,36.0
Xtended,PP H40 00 CC4,Polypropylene Homopolymer,PP Homopolymer,1.24,,2600.0,,2800.0,,30.0
BioBlend®,XD 25052,Polypropylene Homopolymer,PP Homopolymer,1.16,,1040.0,38.0,560.0,,4.7
Canuck Compounds,BK 3-7-6,Polypropylene Copolymer,PP Copolymer,0.935,18.0,850.0,,,,20.0
Canuck Compounds,BK 3-7-7R MF20UV,Polypropylene Copolymer,PP Copolymer,1.04,19.0,2200.0,,2100.0,,30.0
