Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
POLYFORT®,AFP 3318,Polypropylene Copolymer,PP Copolymer,1.08,PP(co)-MD,20.0,,,,1600.0,,6.0,,,,
POLYFORT®,CPP5C25UV,Polypropylene Impact Copolymer,PP Impact Copolymer,,PP(co)-MD25,,,1730.0,,,,11.0,,62.74509803921569,,
POLYFORT®,FIPP 20 T LE K1832,Polypropylene Copolymer,PP Copolymer,1.05,PP(co)-MD20,22.0,,,,1800.0,,5.0,,,,
POLYFORT®,FIPP 20GFC UV A,Polypropylene Copolymer,PP Copolymer,1.05,PP(co)-GF20,,,,,4200.0,60.0,,4.0,,,
POLYFORT®,FIPP 30 T K1005,Polypropylene Copolymer,PP Copolymer,1.13,PP(co)-MD30,27.0,,3250.0,45.0,2800.0,,3.5,,,,
POLYFORT®,FPP 1006,"Polypropylene, Unspecified","PP, Unspecified",1.05,PP-MD20,34.0,,2540.0,,,,,,3.823529411764706,,
POLYFORT®,FPP 1239H,"Polypropylene, Unspecified","PP, Unspecified",1.13,PP-GF30,87.0,,7200.0,,,,,,11.0,,
POLYFORT®,FPP 1697,"Polypropylene, Unspecified","PP, Unspecified",1.1,PP-MD25,20.0,,2650.0,,,,,,6.5,,
POLYFORT®,FPP 20 GFC LE K1400,Polypropylene Homopolymer,PP Homopolymer,1.04,PP(ho)-GF20,,,,,4600.0,69.0,,3.8,,,
POLYFORT®,FPP 20 T,Polypropylene Homopolymer,PP Homopolymer,1.06,PP(ho)-MD20,33.0,,,,2600.0,,6.0,,,,
POLYFORT®,FPP 20 T K2037 NATUR,Polypropylene Homopolymer,PP Homopolymer,1.04,PP(ho)-MD20,32.0,,,,2450.0,,5.0,,,,
POLYFORT®,FPP 22 T LE K1684,Polypropylene Homopolymer,PP Homopolymer,1.06,PP(ho)-MD20,30.0,,,,2600.0,,6.0,,,,
POLYFORT®,FPP 30 T WLB,Polypropylene Homopolymer,PP Homopolymer,1.15,PP(ho)-MD30,32.0,,,,3800.0,,3.0,,,,
POLYFORT®,FPP 30/10 GBGF,Polypropylene Homopolymer,PP Homopolymer,1.12,PP(ho)-GF30,,,,,3500.0,51.0,,4.0,,,
POLYFORT®,FPP 30GFC K1079 LW,Polypropylene Homopolymer,PP Homopolymer,1.13,PP(ho)-GF30,,,6000.0,128.0,6700.0,85.0,,3.0,,,
POLYFORT®,POLYFORT FPP 1512E,"Polypropylene, Unspecified","PP, Unspecified",,PP-MD10,33.9,,1900.0,,,,,,,,
POLYFORT®,PP 3761U-3120,Polypropylene Homopolymer,PP Homopolymer,0.9,PP(ho),34.6,,1780.0,,,,,43.0,5.588235294117648,,
POLYFORT®,PPC MT30 HI SF FC,Polypropylene Copolymer,PP Copolymer,1.17,PP(co)-MD30,,,3000.0,,,25.0,,,,,
POLYFORT®,PPH K2303 NATURAL,Polypropylene Homopolymer,PP Homopolymer,0.93,PP(ho),38.0,,,,2000.0,,7.0,,,,
POLYFORT®,PPH MT20 FC,Polypropylene Homopolymer,PP Homopolymer,1.06,PP(ho)-MD20,33.0,,,,2600.0,,6.0,,,,
POLYFORT®,PPH MT40 LE H2,Polypropylene Homopolymer,PP Homopolymer,1.25,PP(ho)-MD40,,,,,4000.0,28.0,,3.4,,,
POLYFLAM®,RIPP 2000 E S,Polypropylene Copolymer,PP Copolymer,0.93,PP(co)-FR,27.0,,,,1200.0,,10.0,,,,
POLYFLAM®,RIPP 4000 OSD SF GRY 64540,Polypropylene Copolymer,PP Copolymer,1.08,PP(co)-FR,17.0,,2100.0,28.0,1900.0,13.0,2.5,,,,
POLYFLAM®,RIPP 490 E,Polypropylene Copolymer,PP Copolymer,1.06,PP(co)-FR,17.0,,,,1400.0,,3.5,,,,
POLYFLAM®,RIPP 600E-01,"Polypropylene, Unspecified","PP, Unspecified",1.05,PP-FR,13.0,,960.0,,,17.0,14.0,550.0,67.64705882352942,54.0,
POLYFLAM®,RPP 1058,Polypropylene Homopolymer,PP Homopolymer,0.95,PP(ho)-FR,30.0,,1200.0,,,,,200.0,2.9411764705882355,,
POLYFLAM®,RPP 2000 E NATUR K2043,Polypropylene Homopolymer,PP Homopolymer,0.91,PP(ho)-FR,35.0,,1500.0,33.0,1500.0,,10.0,,,,
POLYFLAM®,RPP 2000 E S CS1,Polypropylene Homopolymer,PP Homopolymer,0.94,PP(ho)-FR,32.0,,,,1500.0,,9.0,,,,
POLYFLAM®,RPP 2000 S,Polypropylene Homopolymer,PP Homopolymer,0.91,PP(ho)-FR,32.0,,,,1100.0,,11.0,,,,
POLYFLAM®,RPP 3225 CS1,Polypropylene Homopolymer,PP Homopolymer,1.48,PP(ho)-GF25-FR,,,,,7900.0,83.0,,3.0,,,
POLYFLAM®,RPP 4220 MD 16V0,Polypropylene Homopolymer,PP Homopolymer,1.21,PP(ho)-GF20-FR,,,,,6400.0,72.0,,3.0,,,
POLYFLAM®,RPP 4225 CS1,Polypropylene Homopolymer,PP Homopolymer,1.26,PP(ho)-GF25-FR,,,,,7300.0,80.0,,3.0,,,
POLYFLAM®,RPP 4225 CS1 LM BLACK,Polypropylene Homopolymer,PP Homopolymer,1.26,PP(ho)-GF25-FR,,,,,7300.0,80.0,,3.0,,,
POLYFLAM®,RPP 500 D,Polypropylene Homopolymer,PP Homopolymer,0.94,PP(ho)-FR,28.0,,,,1400.0,,10.0,,4.0,,
POLYFLAM®,RPP 60335 CS1 5V,Polypropylene Homopolymer,PP Homopolymer,1.41,PP(ho)-MD25-FR,24.0,,,,2300.0,,2.5,,,,
Plexar®,PX6008X01,"Polypropylene, Unspecified","PP, Unspecified",0.892,PP,,,,,,,,,,,
Network Polymers PP,NPP 20-1202M,Polypropylene Random Copolymer,PP Random Copolymer,0.898,PP(co),26.2,,738.0,,,,13.0,,3.9215686274509807,83.0,
Network Polymers PP,PP 25-1503 GF10 BLACK,"Polypropylene, Unspecified","PP, Unspecified",0.97,PP-I-GF10,39.9,,2020.0,,,,,,13.725490196078432,,
Network Polymers PP,PPB 25 0802 GF10,Polypropylene Copolymer,PP Copolymer,0.968,PP(co)-I-GF10,39.3,,2140.0,62.1,,,,4.0,7.843137254901961,,
Network Polymers PP,PPB 25 1316,Polypropylene Copolymer,PP Copolymer,0.9,PP(co),22.8,,1100.0,,,,7.0,,57.84313725490196,92.0,
Network Polymers PP,PPB 25 3502,Polypropylene Copolymer,PP Copolymer,0.9,PP(co),23.4,,1140.0,,,,,,13.725490196078432,,
Network Polymers PP,PPH 30 1200,Polypropylene Homopolymer,PP Homopolymer,0.905,PP(ho),33.1,,1240.0,,,,,12.0,2.647058823529412,105.0,
Network Polymers PP,PPH 30 2000,Polypropylene Homopolymer,PP Homopolymer,,PP(ho),32.4,,1420.0,,,,11.0,,2.058823529411765,100.0,
Network Polymers PP,PPH 30 2000 TF40,Polypropylene Homopolymer,PP Homopolymer,1.24,PP(ho)-MD40,33.8,,2760.0,,,,,,2.647058823529412,97.0,
Moplen,2152HOXP,Polypropylene Homopolymer,PP Homopolymer,0.9,PP(ho),35.0,,,,1480.0,,10.0,290.0,,,71.0
Moplen,EP 400H,Polypropylene Copolymer,PP Copolymer,0.9,PP(co),29.4,,1320.0,,1400.0,,8.0,50.0,72.54901960784314,,
Moplen,EP300H,Polypropylene Impact Copolymer,PP Impact Copolymer,0.9,PP(co),25.0,,1150.0,,,,9.0,,1000.0,,
Moplen,EP310DC,Polypropylene Copolymer,PP Copolymer,0.9,PP(co),26.0,,1080.0,,,32.0,13.0,600.0,,,
Moplen,EP332C,Polypropylene Impact Copolymer,PP Impact Copolymer,0.9,PP(co),33.0,,1100.0,,,,10.0,,1000.0,80.0,
Moplen,EP348N,Polypropylene Impact Copolymer,PP Impact Copolymer,0.9,PP(co),23.0,,1200.0,,,,6.0,,25.0,,
Moplen,EP448T,Polypropylene Copolymer,PP Copolymer,0.9,PP(co),27.0,,,,1250.0,,5.0,50.0,,,
Moplen,EP5078,Polypropylene Copolymer,PP Copolymer,0.9,PP(co),32.0,,1400.0,,,,11.0,,1000.0,98.0,
Moplen,EP545L,Polypropylene Impact Copolymer,PP Impact Copolymer,0.9,PP(co),31.0,,1480.0,,,,7.0,,7.549019607843138,,
Moplen,EP548Q,Polypropylene Impact Copolymer,PP Impact Copolymer,0.9,PP(co),28.0,,1450.0,,,,5.0,,,,
Moplen,EP548R,Polypropylene Copolymer,PP Copolymer,0.9,PP(co),27.0,,,,1550.0,,5.0,50.0,,,
Moplen,EP548S,Polypropylene Copolymer,PP Copolymer,0.9,PP(co),27.0,,1500.0,,1550.0,,5.0,30.0,4.509803921568627,,
