Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
Etinox®,EF-0134,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Etinox®,EP-9017,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,,,,,,
Etinox®,EP-9027,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,,,,,,
Fainplast PVC,RKI 715/3,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,41.0,,,,,,
Fainplast PVC,RKS 441/W,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,38.0,,,,,,
Formolon®,616K,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Formolon®,622S,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Formolon®,AW04,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,2830.0,,
PETILEN,S27/R63,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
PETILEN,S65/R68,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Auroralite™,AP3293,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,1380.0,24.1,1240.0,,
Auroralite™,AP3338,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,1380.0,36.4,1100.0,,
Auroralite™,AP3369,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,1030.0,24.1,896.0,,
AuroraGuard™,AP5155E,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,2990.0,,
Unichem,1114-05,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,188.0,,,,,
Dugdale PVC,Easy Flow Injection Molding Compound,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Dugdale PVC,Rigid Bottle Compound,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Dugdale PVC,Rigid Extrusion - Water White Compound,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Dugdale PVC,Rigid Extrusion White Compound,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,42.0,,,,,,
Colorite Rigid PVC,1124-03,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Colorite Rigid PVC,2501,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Colorite Rigid PVC,2600 NAT,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Colorite Rigid PVC,2600 UVLCR,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Colorite Rigid PVC,2690 CLR,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
MARPOL®,PVC GP K65.67,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Sumikon® VM,1712L17D,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
VINIKA®,D3123,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
VINIKA®,D6228,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
VINIKA®,D7619,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
VINIKA®,T133D,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Small Boss,RPVC003,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Small Boss,RPVC004,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Small Boss,RPVC01,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Westlake PVC,21572,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,,,,,,
Westlake PVC,2651,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,43.4,,2550.0,73.2,2740.0,,
Westlake PVC,3101,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,43.2,,2960.0,88.9,2700.0,,
Westlake PVC,3245,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,44.1,,2690.0,82.0,2590.0,,
Westlake PVC,3296,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,43.0,,,72.0,2760.0,,
Westlake PVC,3801,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,1030.0,24.5,1810.0,,
Westlake PVC,5009,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2690.0,82.7,2760.0,,
Westlake PVC,7140,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,44.8,182.0,2760.0,83.4,2620.0,,
Westlake PVC,7140 White 91,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2690.0,79.8,3610.0,,
Westlake PVC,7221,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,43.0,,2590.0,69.0,2650.0,,
Westlake PVC,7450,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,42.7,,2480.0,81.4,2450.0,,
Westlake PVC,7456,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,44.8,,2450.0,75.8,2810.0,,
Westlake PVC,7768,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,46.7,,2490.0,72.4,3220.0,,
