Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Tensile Strength at Yield,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
XYRON™,440Z,Polyphenylene Ether + PS,PPE+PS,1.1,67.0,2700.0,106.0,,,
XYRON™,443Z,Polyphenylene Ether + PS,PPE+PS,1.1,62.0,2220.0,96.0,,,
XYRON™,500H,Polyphenylene Ether + PS,PPE+PS,1.06,53.0,2300.0,92.0,,,
XYRON™,640V,Polyphenylene Ether + PS,PPE+PS,1.08,70.0,2700.0,109.0,,,
XYRON™,CN51V,Polyphenylene Ether + PS,PPE+PS,1.09,66.0,2400.0,100.0,,,
XYRON™,G601Z,Polyphenylene Ether + PS,PPE+PS,1.17,84.0,3700.0,136.0,,,
XYRON™,VN30V,Polyphenylene Ether + PS,PPE+PS,1.08,45.0,1900.0,74.0,,,
XYRON™,VT31V,Polyphenylene Ether + PS,PPE+PS,1.15,44.0,2400.0,75.0,,,
XYRON™,WG731,Polyphenylene Ether + PS,PPE+PS,1.28,125.0,9300.0,198.0,,,
XYRON™,X444H,Polyphenylene Ether + PS,PPE+PS,1.39,84.0,11700.0,145.0,,,
XYRON™,X444V,Polyphenylene Ether + PS,PPE+PS,1.39,88.0,9900.0,140.0,,,
XYRON™,X523V,Polyphenylene Ether + PS,PPE+PS,1.34,60.0,6200.0,106.0,,,
XYRON™,X531V,Polyphenylene Ether + PS,PPE+PS,1.15,71.0,3600.0,119.0,,,
XYRON™,X552V,Polyphenylene Ether + PS,PPE+PS,1.23,62.0,5300.0,117.0,,,
XYRON™,X7744,Polyphenylene Ether + PS,PPE+PS,1.39,98.0,10900.0,160.0,,,
Edgetek™,ET7400-8001 HG NC001,"Polystyrene, High Impact",PS (HIPS),1.04,,2000.0,,,,
Edgetek™,MP-20GF/000 BK088,Polyphenylene Ether + PS,PPE+PS,1.2,,6000.0,160.0,,,
Edgetek™,MP-20GF/000 BLK,Polyphenylene Ether + PS,PPE+PS,1.2,,6200.0,160.0,,,
Edgetek™,MP-30GF/000 BLACK,Polyphenylene Ether + PS,PPE+PS,1.29,,7500.0,170.0,7240.0,,
Edgetek™,SY 30GF/000 NATURAL 70,"Polystyrene, Medium Impact",PS (MIPS),1.26,,,,9500.0,,2.6
InStruc®,PSGF15,"Polystyrene, General Purpose",PS (GPPS),1.15,,4830.0,100.0,,,
InStruc®,PSGF20,"Polystyrene, General Purpose",PS (GPPS),1.18,,6890.0,112.0,,,
API II,390,"Polystyrene, General Purpose",PS (GPPS),1.04,,,,3010.0,,8.0
API II,395,"Polystyrene, General Purpose",PS (GPPS),1.04,,,,2960.0,,20.0
API II,505,"Polystyrene, Medium Impact",PS (MIPS),1.04,,2070.0,,1790.0,,8.0
API II,650,"Polystyrene, High Impact",PS (HIPS),1.04,,2000.0,,2050.0,,8.0
API PS,375,"Polystyrene, General Purpose",PS (GPPS),1.05,,,,2850.0,,5.0
API PS,390,"Polystyrene, General Purpose",PS (GPPS),1.05,,,,2880.0,,8.0
API PS,425,"Polystyrene, Medium Impact",PS (MIPS),1.04,,2100.0,,1930.0,,8.0
API PS,505-21,"Polystyrene, General Purpose",PS (GPPS),1.04,,2690.0,,2140.0,,13.0
STYRON™,421,"Polystyrene, High Impact",PS (HIPS),1.04,,2300.0,43.0,2200.0,,3.9
STYRON™,484,"Polystyrene, High Impact",PS (HIPS),1.04,,1900.0,36.0,1900.0,,2.8
STYRON™,675,"Polystyrene, General Purpose",PS (GPPS),1.04,,3480.0,56.0,3170.0,,7.5
STYRON™,685DL,"Polystyrene, General Purpose",PS (GPPS),1.04,,3240.0,90.0,3170.0,,1.5
STYRON™,693,"Polystyrene, General Purpose",PS (GPPS),1.04,,3340.0,59.0,3100.0,,3.5
PolyRenew®,5102 HE,"Polystyrene, General Purpose",PS (GPPS),1.04,,3280.0,83.0,3100.0,,4.5
Michirene,S13100,"Polystyrene, High Impact",PS (HIPS),1.04,26.9,1930.0,,1590.0,,8.0
MAJ'ECO,PSCP300W - 3737,"Polystyrene, High Impact",PS (HIPS),1.09,,3770.0,56.0,3870.0,,
Adell PS,IF-10,"Polystyrene, High Impact",PS (HIPS),1.17,,2000.0,32.4,,,
Aarolene®,ARPS 100-3,"Polystyrene, High Impact",PS (HIPS),1.05,,1930.0,,,,8.0
PERSTIR®,N09K7000AE0,"Polystyrene, General Purpose",PS (GPPS),1.82,,,,,,2.8
En Chuan,330,"Polystyrene, General Purpose",PS (GPPS),1.05,42.2,3040.0,,,,5.0
En Chuan,336,"Polystyrene, General Purpose",PS (GPPS),1.05,32.4,2840.0,,,,13.0
TECACOMP®,PS ELS 3393,"Polystyrene, General Purpose",PS (GPPS),1.06,,,,6500.0,90.0,8.0
AuroraGuard™,21204,Polyphenylene Ether + PS,PPE+PS,1.06,83.0,241.0,84.0,,,
Electroblend®,HIPS-1802,"Polystyrene, High Impact",PS (HIPS),1.14,,2150.0,38.0,,,1.3
Electroblend®,HIPS-4900,"Polystyrene, High Impact",PS (HIPS),1.0,,2520.0,44.0,,,
Comai,673-1 BL,"Polystyrene, General Purpose",PS (GPPS),,,,,,,
ESTASTIR,HI 0408 V0,"Polystyrene, High Impact",PS (HIPS),1.17,28.0,2200.0,,,,4.0
Okirol®,E-3F,"Polystyrene, Expanded",PS (EPS),0.013,,,,,,
Okirol®,E-5,"Polystyrene, Expanded",PS (EPS),0.016,,,,,,
DOKI®,PS 417,"Polystyrene, High Impact",PS (HIPS),1.05,16.0,,,1500.0,,2.9
DOKI®,PS 457,"Polystyrene, High Impact",PS (HIPS),1.05,25.0,,,2200.0,,3.0
DOKI®,PS 472,"Polystyrene, High Impact",PS (HIPS),1.05,18.0,,,1800.0,,3.5
DOKI®,PS 485,"Polystyrene, High Impact",PS (HIPS),1.05,16.0,,,2000.0,,12.0
DOKI®,PS 680L,"Polystyrene, General Purpose",PS (GPPS),1.05,40.0,,,3200.0,,4.0
HYBRANCH,HP-100,"Polystyrene, Specialty",PS (Specialty),1.04,,3300.0,102.0,,,3.3
HYBRANCH,HP-100F-1,"Polystyrene, Specialty",PS (Specialty),1.04,,3300.0,103.0,,,3.4
Delta,GPPS 108,"Polystyrene, General Purpose",PS (GPPS),1.04,,3100.0,,,,8.0
Delta,HIPS 208,"Polystyrene, High Impact",PS (HIPS),1.04,23.4,2070.0,,,,8.0
Delta,PPO FR1-701,Polyphenylene Ether + PS,PPE+PS,1.06,63.4,2590.0,,,,
Delta,PPO/PA 910,Polyphenylene Ether + PS + PA,PPE+PS+Nylon,1.1,58.6,2240.0,,,,
CP PRYME® Polystyrene,PS100-8M BT CLEAR,"Polystyrene, General Purpose",PS (GPPS),1.04,,3100.0,93.1,3030.0,,
POLYREX®,PH-55Y,"Polystyrene, High Impact",PS (HIPS),1.05,27.0,1300.0,38.0,,,
POLYREX®,PH-888G,"Polystyrene, High Impact",PS (HIPS),1.03,35.0,2200.0,48.0,,,
Neopor®,2400,"Polystyrene, Expanded",PS (EPS),,,,,,,
Neopor®,F 4 speed,"Polystyrene, Expanded",PS (EPS),,,,,,,
BC PS,MG-125,"Polystyrene, General Purpose",PS (GPPS),1.05,43.1,3040.0,68.5,,,9.0
BC PS,MG-150,"Polystyrene, General Purpose",PS (GPPS),1.05,51.0,3040.0,83.2,,,2.5
Bapolene®,6045,"Polystyrene, General Purpose",PS (GPPS),,,2930.0,,,,1.5
King Pearl®,F Series,"Polystyrene, Expanded",PS (EPS),1.02,,,,,,
King Pearl®,FD-A,"Polystyrene, Expanded",PS (EPS),,,,,,,
BUSTREN®,PS 190,"Polystyrene, General Purpose",PS (GPPS),,,,,,,3.5
BUSTREN®,PS 196,"Polystyrene, General Purpose",PS (GPPS),,,,,,,1.0
MTEGRITY™ PS High Impact,IS210,"Polystyrene, High Impact",PS (HIPS),1.04,,1690.0,,,,2.8
MTEGRITY™ PS General Purpose,GS230WC,"Polystyrene, Specialty",PS (Specialty),1.05,,3100.0,,3170.0,,3.0
