Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
Electrafil®,ABS SS5,Acrylonitrile Butadiene Styrene,ABS,1.1,ABS-Me5,,,3100.0,89.6,,50.3,,4.0,5.784313725490197,,
Electrafil®,J-1200/CF/10,Acrylonitrile Butadiene Styrene,ABS,1.1,ABS-CF10,,,6890.0,,7580.0,82.7,,1.7,4.215686274509804,,
Electrafil®,J-1200/CF/10/VO/ND,Acrylonitrile Butadiene Styrene,ABS,1.27,ABS-CF10-FR,,,7580.0,,,82.7,,,3.1372549019607847,,
TECHNO MUH,DN1300,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,42.0,,2280.0,64.0,,,,,,103.0,
TECHNO MUH,W3404,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,47.0,,2200.0,69.0,,,,,,103.0,
TECHNO ALPHALOY,MPA1601,Acrylonitrile Butadiene Styrene + PA,ABS+Nylon,1.09,(ABS+PA),55.0,,2190.0,80.0,,,,,,111.0,
TECHNO ABS,110,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,53.9,,2990.0,82.0,,,,,15.686274509803923,114.0,
TECHNO ABS,130C,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,48.1,,2750.0,70.0,,,,,24.50980392156863,110.0,
TECHNO ABS,150C,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,47.1,,2600.0,69.0,,,,,31.372549019607845,109.0,
TECHNO ABS,350,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,41.2,,2350.0,63.0,,,,,22.54901960784314,105.0,
TECHNO ABS,410,Acrylonitrile Butadiene Styrene,ABS,1.06,ABS,52.0,,2350.0,56.0,,,,,18.627450980392158,112.0,
TECHNO ABS,545,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,44.1,,2450.0,66.0,,,,,14.705882352941178,108.0,
TECHNO ABS,565L,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,44.1,,2550.0,68.0,,,,,4.803921568627452,108.0,
TECHNO ABS,611L,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,42.0,,2250.0,66.0,,,,,,102.0,
TECHNO ABS,620,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,42.2,,2160.0,59.0,,,,,27.450980392156865,102.0,
TECHNO ABS,722,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,47.0,,2220.0,72.0,,,,,,108.0,
TECHNO ABS,840,Acrylonitrile Butadiene Styrene,ABS,1.09,ABS,40.0,,1910.0,57.0,,,,,15.686274509803923,98.0,
TECHNO ABS,F5451G30,Acrylonitrile Butadiene Styrene,ABS,1.42,ABS-GF30-FR,98.1,,8040.0,130.0,,,,,4.803921568627452,113.0,
TECHNO ABS,H571,Acrylonitrile Butadiene Styrene,ABS,1.08,ABS,48.0,,2330.0,75.0,,,,,,113.0,
TECHNO ABS,R790,Acrylonitrile Butadiene Styrene,ABS,1.06,ABS,52.0,,2300.0,59.0,,,,,24.50980392156863,102.0,
TECHNO ABS,ZF5551,Acrylonitrile Butadiene Styrene,ABS,1.19,ABS-FR,44.0,,2450.0,71.0,,,,,,109.0,
EXCELLOY,AK12G20,Acrylonitrile Butadiene Styrene + PA,ABS+Nylon,1.22,(ABS+PA)-GF20,89.2,,3510.0,117.0,,,,,23.529411764705884,112.0,
EXCELLOY,AK12G20,Acrylonitrile Butadiene Styrene + PA,ABS+Nylon,1.22,(ABS+PA)-GF20,103.0,,5100.0,167.0,,,,,12.745098039215687,116.0,
EXCELLOY,CK55,Polycarbonate + ABS,PC+ABS,1.15,(PC+ABS),59.8,,2650.0,78.0,,,,,24.50980392156863,119.0,
EXCELLOY,CKF51,Polycarbonate + ABS,PC+ABS,1.22,(PC+ABS)-FR,53.0,,2290.0,80.0,,,,,,110.0,
EXCELLOY,SX220,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,43.1,,2350.0,68.0,,,,,24.50980392156863,104.0,
EXCELLOY,SXJ220,Acrylonitrile Butadiene Styrene,ABS,1.08,ABS,47.1,,2450.0,72.0,,,,,18.627450980392158,103.0,
TARODUR,100 G2,Acrylonitrile Butadiene Styrene,ABS,1.13,ABS-GF15,,,4800.0,,5000.0,68.0,,2.5,6.862745098039216,112.0,
TARODUR,100 G3,Acrylonitrile Butadiene Styrene,ABS,1.17,ABS-GF15,,,5200.0,,5600.0,78.0,,2.0,5.882352941176471,110.0,
TARODUR,100 X0,Acrylonitrile Butadiene Styrene,ABS,1.18,ABS,46.0,,2600.0,70.0,2700.0,,,8.0,12.745098039215687,98.0,
NILSAN,S V0 NB L,Acrylonitrile Butadiene Styrene,ABS,1.25,ABS-FR,40.0,,2400.0,65.0,2600.0,,,10.0,9.803921568627452,,
omay®,US42,"Film, PC/ABS","Film, PC/ABS",1.18,(ABS+PC)-FR,,,2600.0,88.0,,,,50.0,,,
ECP,2310,Acrylonitrile Butadiene Styrene,ABS,1.08,ABS,,,,,1300.0,,,,,,
Taitalac®,1000D,Acrylonitrile Butadiene Styrene,ABS,1.03,ABS,46.0,,2000.0,69.0,,37.0,,30.0,24.50980392156863,110.0,
Taitalac®,3000P,Acrylonitrile Butadiene Styrene,ABS,1.03,ABS,39.0,,1500.0,55.0,,32.0,,30.0,45.09803921568628,100.0,
Taitalac®,5000M,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,48.0,,2200.0,76.0,,37.0,,30.0,21.568627450980394,115.0,
Taitalac®,5000W,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,48.0,,2500.0,77.0,,37.0,,30.0,20.58823529411765,115.0,
Hyundai EP PPC,SI600F,Polycarbonate + ABS,PC+ABS,1.14,(PC+ABS),53.9,,2210.0,78.5,,,,,,116.0,
HUAYI ABS,AT-100,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,,,1810.0,58.8,,,20.0,,9.607843137254903,,
I. Stern,108B,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,46.9,,2620.0,,,,,15.0,12.745098039215687,,
I. Stern,750,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,46.0,,2150.0,,,,,15.0,28.43137254901961,108.0,
TARFLON™,SC-170,Polycarbonate + ABS,PC+ABS,1.11,(PC+ABS),50.0,,1950.0,65.0,,,,,,100.0,
GLS ABS,SG59,Acrylonitrile Butadiene Styrene,ABS,1.22,ABS-GF25,80.0,,5200.0,90.0,6500.0,,,,4.901960784313726,,
GLS ABS,SG69,Acrylonitrile Butadiene Styrene,ABS,1.21,ABS-GF30,72.0,,4800.0,87.0,6600.0,,,,3.9215686274509807,,
GLS ABS,SN08,Acrylonitrile Butadiene Styrene,ABS,1.15,ABS-FR,,,1900.0,60.0,,,,,11.764705882352942,,
GPPC ABS,D-1000A,Acrylonitrile Butadiene Styrene,ABS,1.17,ABS-FR,,,2140.0,62.0,,,,43.0,21.568627450980394,105.0,
ISOPAK®,525 Black,Acrylonitrile Butadiene Styrene,ABS,1.03,ABS,48.1,,2510.0,,,,,,15.686274509803923,110.0,
ISOPAK®,525GF20,Acrylonitrile Butadiene Styrene,ABS,1.15,ABS-GF20,,,4410.0,98.1,5690.0,,,1.9,6.274509803921569,107.0,
ISOPAK®,547HF,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,43.1,,,,,38.2,,,19.607843137254903,118.0,
ISOPAK®,547M,Acrylonitrile Butadiene Styrene,ABS,1.03,ABS,41.2,,2450.0,,,,,,23.529411764705884,105.0,
GELAST,5170A,Acrylonitrile Butadiene Styrene,ABS,,ABS,,,,,3.09,,,1100.0,,,
HONSEA,V1RI A002,Polyamide 6 + ABS,Nylon 6+ABS,1.07,(ABS+PA)-I,,,1650.0,58.0,,,,80.0,70.0,,
Xingshengdi,XD-6620,Polycarbonate + ABS,PC+ABS,1.19,(PC+ABS),,,2650.0,96.0,,,,90.0,50.0,,
SILVER®,ABS 313HM,Acrylonitrile Butadiene Styrene,ABS,1.12,ABS,,,2200.0,75.0,,,,20.0,,,
SILVER®,ABS 323G15,Acrylonitrile Butadiene Styrene,ABS,1.15,ABS-GF15,,,3000.0,90.0,,,,3.3,,,
SILVER®,ABS 3360F,Acrylonitrile Butadiene Styrene,ABS,1.17,ABS-FR,,,2000.0,60.0,,,,10.0,,,
SILVER®,ABS 3360NH,Acrylonitrile Butadiene Styrene,ABS,1.19,ABS-FR,,,2100.0,60.0,,,,12.0,,,
SILVER®,ABS-ESD filament,Acrylonitrile Butadiene Styrene,ABS,1.08,ABS-Nano,,,2300.0,70.0,,,,5.0,7.843137254901961,,
SILVER®,PC2540.H,Polycarbonate + ABS,PC+ABS,1.19,(PC+ABS)-FR,,,2100.0,78.0,,,,130.0,,,
AuroraGuard™,ENV00-NC660,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,41.4,,2550.0,65.5,,,,,36.27450980392157,,
AuroraGuard™,ENV00-NC670,Acrylonitrile Butadiene Styrene,ABS,1.08,ABS-GF5,44.1,,2900.0,62.1,,,,,8.92156862745098,,
AuroraGuard™,ENV00-NC690,Acrylonitrile Butadiene Styrene,ABS,1.18,ABS-GF20,,,5000.0,117.0,,78.6,,,6.274509803921569,,
AuroraGuard™,ENV15-NC270,Polycarbonate + ABS,PC+ABS,1.13,(PC+ABS),52.4,,2210.0,79.3,,,,100.0,67.64705882352942,,
AuroraGuard™,ENV15-NC290,Polycarbonate + ABS,PC+ABS,1.14,(PC+ABS),52.4,,2280.0,79.3,,,,100.0,67.64705882352942,,
AuroraGuard™,ENV15-NC320,Polycarbonate + ABS,PC+ABS,1.13,(PC+ABS),52.4,,2360.0,90.3,,,,,51.96078431372549,,
AuroraGuard™,ENV15-NC330,Polycarbonate + ABS,PC+ABS,1.15,(PC+ABS),54.5,,2280.0,88.3,,,,,62.74509803921569,,
AuroraGuard™,ENV15-NC370,Polycarbonate + ABS,PC+ABS,1.18,(PC+ABS)-FR,60.7,,2380.0,89.6,,,,40.0,51.96078431372549,,
AuroraGuard™,ENV15-NC530,Polycarbonate + ABS,PC+ABS,1.2,(PC+ABS)-GF10,,,3920.0,107.0,,62.1,,,6.764705882352942,,
TECARAN,ABS natural,Acrylonitrile Butadiene Styrene,ABS,1.02,ABS,40.0,,2140.0,61.4,2760.0,27.6,2.0,30.0,27.450980392156865,108.0,78.0
ECHO®,ABS 120 BK,Acrylonitrile Butadiene Styrene,ABS,1.06,ABS,,,1930.0,48.0,,41.0,,12.0,8.0,,
TECHNOGRAN®,ABSPCI,Polycarbonate + ABS,PC+ABS,1.1,(PC+ABS),16.0,,1500.0,,2250.0,45.0,,11.0,,,
P-BLEND,X5,Polycarbonate + ABS,PC+ABS,1.18,(PC+ABS),46.0,,2700.0,90.0,,40.0,,30.0,23.0,,
ESTOPLAST ZK,8508WW93,Polycarbonate + ABS,PC+ABS,1.16,(PC+ABS),50.0,,,85.0,2200.0,,,40.0,44.11764705882353,,
ESTOPLAST SR,1500GN01,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,45.0,,,70.0,2100.0,,,15.0,19.607843137254903,,
ESTOPLAST SR,1500GY04,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,40.0,,2300.0,70.0,2100.0,,,10.0,17.647058823529413,,
ESTOPLAST SR,1500IY01,Acrylonitrile Butadiene Styrene,ABS,1.08,ABS,40.0,,2300.0,75.0,2100.0,,,10.0,18.627450980392158,,
ESTOPLAST SR,2020NN01,Acrylonitrile Butadiene Styrene,ABS,1.18,ABS-GF20,,,,105.0,,70.0,,3.0,5.882352941176471,,
TAIRILOY®,AC2108,Polycarbonate + ABS,PC+ABS,1.15,(PC+ABS),,,2250.0,93.0,,,,,,117.0,
TAIRILOY®,AC2190,Polycarbonate + ABS,PC+ABS,1.14,(PC+ABS),,,2060.0,88.0,,,,,,119.0,
TAIRILOY®,AC2300,Polycarbonate + ABS,PC+ABS,1.1,(PC+ABS),,,2350.0,86.0,,,,,,110.0,
TAIRILOY®,AC3100,Polycarbonate + ABS,PC+ABS,1.18,(PC+ABS)-FR,,,2440.0,94.0,,,,,,118.0,
TAIRILAC®,AE8000-H,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,,,2050.0,65.0,,,,,41.0,104.0,
TAIRILAC®,AG100H,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,,,1860.0,61.0,,,,,36.27450980392157,95.0,
TAIRILAC®,AG12A3,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,,,2160.0,72.0,,,,,29.411764705882355,106.0,
TAIRILAC®,AG15A1-H,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,,,2550.0,73.0,,,,,25.0,110.0,
TAIRILAC®,AG23AT,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,,,2200.0,72.0,,,,,31.0,107.0,
TAIRILAC®,AX4000,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,,,2350.0,76.0,,,,,18.627450980392158,109.0,
Ghaed ABS/PC,GAC 244,Polycarbonate + ABS,PC+ABS,1.08,(PC+ABS),44.1,,1770.0,73.5,,,,90.0,38.0,90.0,
Ghaed ABS,ABS-38,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,43.1,,1960.0,63.7,,,,16.0,16.0,100.0,
Ghaed ABS,ABS-HU-650,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,43.1,,1960.0,65.7,,,,16.0,16.0,100.0,
Kapex,D200 12,Polycarbonate + ABS,PC+ABS,1.17,(PC+ABS)-FR,58.6,,2340.0,96.5,,,80.0,,57.84313725490196,115.0,
Kapex,D300 06,Polycarbonate + ABS,PC+ABS,1.12,(PC+ABS),51.7,,2340.0,89.6,,,80.0,,67.64705882352942,115.0,
PolyFibra®,PF-AHD01,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS-NX,22.0,,2270.0,,2010.0,22.0,1.6,,,,70.0
Tecotek®,BC43 UF65 NL CE,Polycarbonate + ABS,PC+ABS,1.13,(PC+ABS),45.0,,,,2250.0,,,50.0,35.0,,
TRILOY®,200,Polycarbonate + ABS,PC+ABS,1.08,(PC+ABS),49.0,,2260.0,,,,100.0,,48.03921568627451,,
TRILOY®,200FT,Polycarbonate + ABS,PC+ABS,1.08,(PC+ABS)-FR,53.9,,2260.0,,,,,50.0,62.74509803921569,100.0,
TRILOY®,200N,Polycarbonate + ABS,PC+ABS,1.2,(PC+ABS)-FR,49.0,,2060.0,,,,,30.0,38.23529411764706,110.0,
TRILOY®,210GNH10,Polycarbonate + ABS,PC+ABS,1.31,(PC+ABS),68.6,,3730.0,,,,3.0,,6.764705882352942,,
TRILOY®,210NHBL,Polycarbonate + ABS,PC+ABS,1.18,(PC+ABS)-FR,61.8,,2260.0,,,,,50.0,67.64705882352942,116.0,
TRILOY®,740,Polycarbonate + ABS,PC+ABS,1.21,(PC+ABS),53.9,,2060.0,,,,,200.0,11.764705882352942,,
TRILOY®,CF210L,Polycarbonate + ABS,PC+ABS,1.16,(PC+ABS),42.2,,1770.0,,,,20.0,,46.07843137254902,,
TRILOY®,CF210S,Polycarbonate + ABS,PC+ABS,1.13,(PC+ABS)-FR,58.8,,2350.0,,,,,40.0,6.764705882352942,110.0,
TRILOY®,ES280P,Polycarbonate + ABS,PC+ABS,1.31,(PC+ABS),58.8,,4410.0,,,,3.0,,2.843137254901961,,
TRILOY®,MH275M,Polycarbonate + ABS,PC+ABS,1.14,(PC+ABS),49.0,,1960.0,,,,,100.0,67.64705882352942,118.0,
TRILOY®,TP270W,Polycarbonate + ABS,PC+ABS,1.34,(PC+ABS),49.0,,4120.0,,,,4.0,,2.843137254901961,,
TRILOY®,TP290W,Polycarbonate + ABS,PC+ABS,1.34,(PC+ABS),56.9,,3330.0,,,,20.0,,6.764705882352942,,
TRIBS®,640G20,Acrylonitrile Butadiene Styrene,ABS,1.2,ABS,63.7,,4410.0,,,,2.0,,4.803921568627452,,
TRIBS®,ML687,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,44.1,,2350.0,,,,,40.0,7.647058823529412,109.0,
SAXALOY™,A8120 GF20,Polycarbonate + ABS,PC+ABS,1.2,(PC+ABS)-GF20,,,,,5400.0,,,2.0,7.0,,
SAXALOY™,A8135,Polycarbonate + ABS,PC+ABS,1.1,(PC+ABS),,,,,2200.0,,,20.0,40.0,,
SAXALOY™,A8320,Polycarbonate + ABS,PC+ABS,1.15,(PC+ABS),,,,,2400.0,,,50.0,40.0,,
SAXALAC™,108 GF15,Acrylonitrile Butadiene Styrene,ABS,1.15,ABS-GF15,,,,,5800.0,,,2.0,7.0,,
SAXALAC™,120E,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,,,,,2400.0,,,25.0,24.0,,
SAXALAC™,128GF10,Acrylonitrile Butadiene Styrene,ABS,1.14,ABS-GF10,,,,,3000.0,,,3.8,5.0,,
SAXALAC™,802,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS,,,,,2650.0,,,15.0,9.0,,
SAXALAC™,820 PG,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,,,,,2300.0,,,23.0,21.0,,
LNP™ THERMOCOMP™ Compound,AB002 - Americas,Acrylonitrile Butadiene Styrene,ABS,1.12,ABS-GB10,34.0,,2410.0,60.0,2600.0,30.0,2.2,24.0,11.764705882352942,,
LNP™ THERMOCOMP™ Compound,AC004,Acrylonitrile Butadiene Styrene,ABS,1.14,ABS-CF20,,,12800.0,152.0,13000.0,90.0,,2.3,6.274509803921569,,
LNP™ THERMOCOMP™ Compound,AF001H,Acrylonitrile Butadiene Styrene,ABS,,ABS-GF5,,,2730.0,68.0,2750.0,40.0,,2.3,,,
LNP™ THERMOCOMP™ Compound,AF002 - Europe,Acrylonitrile Butadiene Styrene,ABS,1.1,ABS-GF10,54.0,,3500.0,,3600.0,54.0,2.7,2.8,10.0,,
